customer_no,store_id,id,uuid
201807-013414,2950598,8220,1109b031-fc40-4bd1-a739-42bc74af6959
,29811999,7899,491d69c3-bbc0-41c5-ac77-f278878c0c7c
,2988,8046,30d15b38-5a90-4e85-9563-a899d925dc17
201807-013054,2f,7728,4abba7bb-921b-4ab2-9305-d895380e5282
,2f01,7073,8a0ca228-46d7-46fb-a92a-aac915c3e664
,2gether,8582,03ef3f51-d19e-4cc1-b754-ee232b40f8ce
201700-000094,2rban,640,e79350f0-d369-471f-a375-c44d324b87ad
201806-012705,2ssweetspecial,7250,f1a97b72-ab5e-436b-baae-16c15a3a676c
201700-000869,2ten2den,1086,a84d5ab5-aff4-40c0-8f0d-cbca69c2da11
201803-010943,2yumcafe,6523,10ee16a3-9990-45f3-889b-9b565be4dae1
201700-001125,3000brewseum,1476,81ac0c6d-8529-4cb1-83d8-b2afd78b15e0
201708-000694,301,4652,304f4cf5-325c-413b-bd9c-28aafb53b210
,3050smoothies,5962,a31532b0-9daf-4189-9871-0eae3f43d146
201700-001734,30ytt,2483,5b1a5d56-860b-47be-9989-c79c7af2aa86
201809-015016,3115355,8316,8781caa0-1097-40e6-b17c-d4aac7110916
,3161085,7518,dc783a87-8490-496c-9edd-2018bc0b9080
201700-000533,31721708,241,b4e260a2-8e11-4297-968c-2818aacda0d7
201700-001217,3243456sky,1950,00e1f027-63ea-409c-a454-10d99ac54cd1
,32cafe,6368,d169d202-d9c1-47b6-ade4-248675e57896
201812-016608,33,9062,d605c861-317a-4b5d-9c7c-ef73f2c5fbd8
,333162,2851,68a0114b-7511-4915-a38b-e017e4cbcd29
201711-001924,33960198,5733,bfaeaf13-b2fe-4c3e-a6a5-7a040b5c00b4
,34765948,4404,6d601e2b-0c60-4ee9-b92d-40c43bbf3cec
201700-001799,35312007,2611,5f05200d-c487-4771-8825-fb648fa75d26
201711-001937,35678929,5641,2e8303c2-679d-4b63-b152-fae3c9abc83b
,357698,8089,f682a7f7-cdb0-4198-972c-cd27610cd4bd
201700-002097,3672800,2989,5dddc752-4ec9-471e-915e-a9bb2bd5af07
201805-012361,36757015,7295,82cef6b6-a773-4dcc-ab7c-8616d5a39f93
201803-010967,37004855,7170,5c3064e6-4503-4018-b9d4-7b74c15d293f
,3790339,9031,7bbc5089-e817-43b6-83e2-3f1197f93f74
201700-002989,37hankou,4450,6fcece05-b41a-422f-8914-53f4f546ff9a
201700-000092,38469790,6214,90908f47-0887-4e85-9d2a-3738a3415599
201700-002125,38502453,3049,1b4e24d8-78ad-447d-b1cb-d331c50eec16
201811-015933,38581512,8810,cab9b7f3-d76b-475c-81f8-237de7a40d67
201711-002117,38fan2293338,5471,b89056dd-cda4-4f64-99da-5cf03dbb7203
201700-001280,392cafe,1669,e174f58a-98f4-4671-afa6-e1dd8336070d
,3983853,7496,6b5f8368-ec98-4eba-895d-cc980fe34e91
,39967726,8311,4d207b72-86d0-47d6-a6cf-7de8d645e566
201700-000588,3brothers01,395,d71c9b3f-bb1b-4495-94fa-c17d8472dda0
201700-000113,3bunnies,225,387567eb-a3bc-4175-b667-8b79c127cf5d
,3jack,7254,2acb3a53-ff44-4928-84a3-853254b5fb8c
